 ,open,high,low,adjclose,volume,ticker
2017-01-17,577,577,577,577,13943,Dedam
2017-01-18,573,573,573,573,4740,Dedam
2017-01-21,572,572,572,572,2000,Dedam
2017-01-22,571,571,571,571,5340,Dedam
2017-01-23,570,570,570,570,3000,Dedam
2017-01-24,569,569,569,569,12096,Dedam
2017-01-25,565,565,565,565,6183,Dedam
2017-02-14,563,563,563,563,3920,Dedam
2017-02-15,562,562,562,562,2080,Dedam
2017-02-18,561,561,561,561,4000,Dedam
2017-02-19,560,560,560,560,3050,Dedam
2017-02-20,559,559,559,559,3526,Dedam
2017-02-21,559,559,559,559,14464,Dedam
2017-02-22,554,554,554,554,12076,Dedam
2017-02-25,551,551,551,551,6146,Dedam
2017-02-26,549,549,549,549,33682,Dedam
2017-02-27,540,551,540,540,552131,Dedam
2017-02-28,532,567,532,544,436809,Dedam
2017-03-01,557,564,523,523,517450,Dedam
2017-03-04,515,522,506,506,383919,Dedam
2017-03-05,494,534,494,513,96915,Dedam
2017-03-06,532,544,532,544,125226,Dedam
2017-03-07,565,565,515,524,102616,Dedam
2017-03-08,547,547,517,528,33948,Dedam
2017-03-11,531,531,511,519,65287,Dedam
2017-04-08,565,574,556,574,542797,Dedam
2017-04-09,570,597,565,597,243431,Dedam
2017-04-10,610,617,610,617,82017,Dedam
2017-04-12,641,641,641,641,154367,Dedam
2017-04-15,653,673,612,673,294586,Dedam
2017-04-16,701,701,637,701,185536,Dedam
2017-04-17,729,729,664,684,172036,Dedam
2017-04-18,690,690,653,683,67347,Dedam
2017-04-19,667,697,658,697,181919,Dedam
2017-04-22,695,713,686,713,351590,Dedam
2017-04-23,717,734,704,733,202509,Dedam
2017-04-24,733,744,692,727,370598,Dedam
2017-04-26,739,769,704,769,271599,Dedam
2017-04-29,789,789,773,789,971795,Dedam
2017-04-30,752,790,747,750,187746,Dedam
2017-05-01,741,766,741,741,20373,Dedam
2017-05-02,731,731,731,731,24758,Dedam
2017-05-03,719,719,719,719,4985,Dedam
2017-05-06,717,717,717,717,200,Dedam
2017-05-07,717,717,717,717,859,Dedam
2017-05-08,773,785,716,784,734470,Dedam
2017-05-09,796,796,737,737,125699,Dedam
2017-05-10,715,717,715,715,107972,Dedam
2017-05-13,699,699,680,680,70693,Dedam
2017-05-14,653,653,651,651,26700,Dedam
2017-05-15,640,707,640,707,637881,Dedam
2017-05-16,739,739,727,739,129565,Dedam
2017-05-17,748,771,748,771,1082818,Dedam
2017-05-20,771,809,733,773,93234,Dedam
2017-05-21,748,773,740,773,33346,Dedam
2017-05-22,724,775,723,726,17716,Dedam
2017-05-23,728,729,728,729,4000,Dedam
2017-05-24,724,738,722,723,34667,Dedam
2017-05-27,706,737,706,708,42015,Dedam
2017-05-28,716,716,716,716,500,Dedam
2017-05-29,748,748,699,699,34530,Dedam
2017-05-30,685,710,685,710,9213,Dedam
2017-05-31,710,710,681,681,16195,Dedam
2017-06-03,681,681,674,674,29308,Dedam
2017-06-06,662,662,662,662,13162,Dedam
