 ,open,high,low,adjclose,volume,ticker
2015-04-21,784,814,784,24,2630,IRO1DAML0001
2015-04-22,769,814,769,20,21348,IRO1DAML0001
2015-04-25,814,835,814,22,36407,IRO1DAML0001
2015-04-26,815,834,815,20,5322,IRO1DAML0001
2015-04-27,799,815,799,17,8514,IRO1DAML0001
2015-04-28,822,822,790,17,9460,IRO1DAML0001
2015-04-29,814,814,814,23,57366,IRO1DAML0001
2015-05-04,824,824,814,20,951,IRO1DAML0001
2015-05-05,784,813,784,19,1160,IRO1DAML0001
2015-05-06,784,811,784,19,8891,IRO1DAML0001
2015-05-09,814,814,814,20,1100,IRO1DAML0001
2015-05-10,834,834,824,21,1589,IRO1DAML0001
2015-05-11,824,824,823,19,4560,IRO1DAML0001
2015-05-12,823,827,795,20,24103,IRO1DAML0001
2015-05-23,856,856,825,23,36480,IRO1DAML0001
2015-05-24,808,841,808,17,10804,IRO1DAML0001
2015-05-25,845,845,831,20,9338,IRO1DAML0001
2015-05-26,831,831,817,17,4341,IRO1DAML0001
2015-05-27,817,837,817,22,9168,IRO1DAML0001
2015-05-30,842,842,842,20,8883,IRO1DAML0001
2015-05-31,842,842,829,18,2626,IRO1DAML0001
2015-06-01,859,859,854,23,24176,IRO1DAML0001
2015-06-06,833,833,833,17,3063,IRO1DAML0001
2015-06-07,833,838,833,20,9400,IRO1DAML0001
2015-06-08,833,833,819,18,1501,IRO1DAML0001
2015-06-09,797,802,797,17,3708,IRO1DAML0001
2015-06-10,808,831,808,21,4847,IRO1DAML0001
2015-06-13,808,808,808,19,1299,IRO1DAML0001
2015-06-15,820,831,808,22,1300,IRO1DAML0001
2015-06-16,813,831,813,20,550,IRO1DAML0001
2015-06-17,859,859,814,21,6351,IRO1DAML0001
2015-06-20,842,842,842,20,161,IRO1DAML0001
2015-06-22,842,842,842,20,1400,IRO1DAML0001
2015-06-23,820,820,809,16,27830,IRO1DAML0001
2015-06-24,810,810,810,19,10000,IRO1DAML0001
2015-06-27,819,831,808,22,14400,IRO1DAML0001
2015-06-28,831,831,822,18,850,IRO1DAML0001
2015-06-29,807,814,801,17,17769,IRO1DAML0001
2015-06-30,825,825,806,21,24217,IRO1DAML0001
2015-07-01,809,809,809,19,38632,IRO1DAML0001
2015-07-04,848,848,831,22,1030,IRO1DAML0001
2015-07-05,797,801,794,16,26865,IRO1DAML0001
2015-07-06,808,808,808,20,1900,IRO1DAML0001
2015-07-07,842,842,803,20,126019,IRO1DAML0001
2015-07-11,811,811,811,20,100,IRO1DAML0001
2015-07-12,819,819,819,20,6087,IRO1DAML0001
2015-07-13,842,852,839,23,59298,IRO1DAML0001
2015-07-15,852,852,819,16,28308,IRO1DAML0001
2015-07-20,838,879,838,26,18621,IRO1DAML0001
2015-07-21,889,889,866,21,29580,IRO1DAML0001
2015-07-22,858,877,858,18,5990,IRO1DAML0001
2015-07-25,858,858,825,14,25419,IRO1DAML0001
2015-07-26,831,831,831,20,4812,IRO1DAML0001
2015-07-27,825,859,825,20,14383,IRO1DAML0001
2015-07-28,831,859,831,23,4360,IRO1DAML0001
2015-07-29,884,884,884,22,200,IRO1DAML0001
2015-08-01,866,866,866,17,134,IRO1DAML0001
2015-08-03,842,849,842,17,70000,IRO1DAML0001
2015-08-08,819,819,808,17,5789,IRO1DAML0001
2015-08-09,809,842,809,22,926,IRO1DAML0001
2015-08-10,820,821,820,17,8613,IRO1DAML0001
2015-08-17,821,821,821,20,1561,IRO1DAML0001
2015-08-18,808,821,808,20,13357,IRO1DAML0001
2015-08-19,809,810,808,18,12076,IRO1DAML0001
2015-08-22,831,831,803,21,56023,IRO1DAML0001
2015-08-23,819,819,819,19,1500,IRO1DAML0001
2015-08-24,842,842,831,22,15645,IRO1DAML0001
2015-08-25,808,822,808,17,2190,IRO1DAML0001
2015-08-26,796,808,785,15,31298,IRO1DAML0001
2015-08-29,808,852,808,28,21543,IRO1DAML0001
2015-08-30,852,852,852,20,670,IRO1DAML0001
2015-09-02,791,791,791,12,480,IRO1DAML0001
2015-09-08,818,818,818,23,100,IRO1DAML0001
2015-09-13,818,831,818,21,910,IRO1DAML0001
2015-09-14,797,831,796,20,27715,IRO1DAML0001
2015-09-15,814,814,814,17,1150,IRO1DAML0001
2015-09-16,814,814,814,20,201,IRO1DAML0001
2015-09-19,808,808,808,19,200,IRO1DAML0001
2015-09-20,780,780,780,16,17000,IRO1DAML0001
2015-09-21,780,808,780,23,9300,IRO1DAML0001
2015-09-22,817,817,817,21,8700,IRO1DAML0001
2015-09-23,817,836,783,22,50707,IRO1DAML0001
2015-09-26,808,808,796,16,20321,IRO1DAML0001
2015-09-27,780,836,780,23,1000,IRO1DAML0001
2015-09-28,808,808,808,16,1201,IRO1DAML0001
2015-09-30,806,823,806,21,7540,IRO1DAML0001
2015-10-04,785,795,785,16,8168,IRO1DAML0001
2015-10-05,831,831,831,24,725,IRO1DAML0001
2015-10-06,791,791,791,15,1625,IRO1DAML0001
2015-10-07,827,827,824,24,80767,IRO1DAML0001
2015-10-10,836,837,833,21,12641,IRO1DAML0001
2015-10-11,808,808,808,16,50572,IRO1DAML0001
2015-10-13,808,833,808,21,1257,IRO1DAML0001
2015-10-14,808,808,773,14,68528,IRO1DAML0001
2015-10-17,776,796,772,19,63892,IRO1DAML0001
2015-10-18,772,780,754,21,20865,IRO1DAML0001
2015-10-19,789,789,788,21,2000,IRO1DAML0001
2015-10-20,739,756,737,13,23751,IRO1DAML0001
2015-11-14,726,726,726,18,2223,IRO1DAML0001
2015-11-15,725,725,725,19,300,IRO1DAML0001
2015-11-18,725,725,725,20,480,IRO1DAML0001
2015-11-21,725,725,725,20,100,IRO1DAML0001
2015-12-28,725,725,725,20,100,IRO1DAML0001
2016-01-05,725,725,725,20,760,IRO1DAML0001
2016-01-06,724,724,724,19,4000,IRO1DAML0001
2016-01-19,722,722,722,19,978,IRO1DAML0001
2016-01-20,722,722,722,20,3000,IRO1DAML0001
2016-01-23,721,780,721,21,502288,IRO1DAML0001
2016-01-24,728,744,728,21,141686,IRO1DAML0001
2016-01-25,759,775,759,24,409921,IRO1DAML0001
2016-01-26,807,807,777,20,165782,IRO1DAML0001
2016-01-27,780,780,753,16,85684,IRO1DAML0001
2016-01-30,724,750,724,16,75224,IRO1DAML0001
2016-01-31,724,740,724,20,10450,IRO1DAML0001
2016-02-01,727,750,727,20,67506,IRO1DAML0001
2016-02-02,773,773,728,22,90728,IRO1DAML0001
2016-02-03,767,767,718,16,31956,IRO1DAML0001
2016-02-06,727,747,720,19,28938,IRO1DAML0001
2016-02-07,721,733,716,20,45053,IRO1DAML0001
2016-02-08,722,736,711,20,80117,IRO1DAML0001
2016-02-09,722,740,722,21,110598,IRO1DAML0001
2016-02-10,736,736,697,18,40958,IRO1DAML0001
2016-02-13,733,738,696,20,62688,IRO1DAML0001
2016-02-14,716,716,694,17,29909,IRO1DAML0001
